-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     170.020us         7.96%     170.020us      85.010us           0 B           0 B           0 B           0 B             2  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us     148.642us         6.96%     148.642us      24.774us           0 B           0 B           0 B           0 B             6  
                                    aten::gelu_backward         0.36%      75.142us         0.58%     121.623us      20.271us     106.499us         4.99%     106.499us      17.750us           0 B           0 B      48.00 MB      48.00 MB             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     106.499us         4.99%     106.499us      17.750us           0 B           0 B           0 B           0 B             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      89.828us         4.21%      89.828us       1.633us           0 B           0 B           0 B           0 B            55  
                                             aten::mul_         1.61%     335.865us         2.97%     618.461us      11.893us      85.796us         4.02%      85.796us       1.650us           0 B           0 B           0 B           0 B            52  
                                              aten::sum         1.30%     271.763us         2.04%     425.381us      32.722us      81.345us         3.81%      81.345us       6.257us           0 B           0 B      31.00 KB      31.00 KB            13  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      76.833us         3.60%      76.833us       5.910us           0 B           0 B           0 B           0 B            13  
                                            aten::lerp_         0.84%     175.722us         1.56%     325.182us      12.507us      60.518us         2.83%      60.518us       2.328us           0 B           0 B           0 B           0 B            26  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      60.518us         2.83%      60.518us       2.328us           0 B           0 B           0 B           0 B            26  
                                             aten::gelu         0.46%      96.071us         0.67%     140.510us      23.418us      45.311us         2.12%      45.311us       7.552us           0 B           0 B      48.00 MB      48.00 MB             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      45.311us         2.12%      45.311us       7.552us           0 B           0 B           0 B           0 B             6  
                                         aten::addcdiv_         0.87%     181.381us         1.49%     311.735us      11.990us      42.497us         1.99%      42.497us       1.635us           0 B           0 B           0 B           0 B            26  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      42.497us         1.99%      42.497us       1.635us           0 B           0 B           0 B           0 B            26  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      39.903us         1.87%      39.903us       3.069us           0 B           0 B           0 B           0 B            13  
                                             aten::add_         1.72%     359.412us         4.08%     851.671us      15.208us      38.946us         1.82%      38.946us       0.695us           0 B        -104 B           0 B           0 B            56  
                                         aten::addcmul_         0.82%     171.036us         1.42%     296.703us      11.412us      35.264us         1.65%      35.264us       1.356us           0 B           0 B           0 B           0 B            26  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      35.264us         1.65%      35.264us       1.356us           0 B           0 B           0 B           0 B            26  
                                             aten::sqrt         1.18%     246.030us         1.82%     380.282us      14.626us      33.058us         1.55%      33.058us       1.271us           0 B           0 B      12.28 MB      12.28 MB            26  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      33.058us         1.55%      33.058us       1.271us           0 B           0 B           0 B           0 B            26  
                                              aten::div         1.38%     288.301us         2.07%     432.119us      16.004us      32.609us         1.53%      32.609us       1.208us           0 B           0 B      14.28 MB      14.28 MB            27  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      31.266us         1.46%      31.266us       2.606us           0 B           0 B           0 B           0 B            12  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.241us         1.42%      30.241us       1.163us           0 B           0 B           0 B           0 B            26  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      29.665us         1.39%      29.665us       1.141us           0 B           0 B           0 B           0 B            26  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us      20.961us         0.98%      20.961us      20.961us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 20.852ms
Self CUDA time total: 2.136ms
